,Series Name,MP,MP_plus,TFR,Number of births,Number of women of childbearing age,EF,EM,Disposable income,"LFP, female (%)",DI_low,DI_high,recession,boom,unemployment rate,un_ave,move_in,move_out
TPH,1999-01,0,0,1.35,3261,1065670,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,12436,10345
TPH,1999-02,0,0,1.35,2828,1066750,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,11313,9445
TPH,1999-03,0,0,1.35,3950,1068370,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,14982,12001
TPH,1999-04,0,0,1.35,3482,1069790,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,12581,10147
TPH,1999-05,0,0,1.35,3445,1071210,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,13161,10535
TPH,1999-06,0,0,1.35,3331,1072360,9.8,10.58,892692,47.8,0,1,0,1,3,-1.2,13817,12036
TPH,1999-07,0,0,1.35,3470,1073730,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,13001,10638
TPH,1999-08,0,0,1.35,3388,1075270,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,15377,12385
TPH,1999-09,0,0,1.35,3339,1076750,9.8,10.58,892692,47.8,0,1,1,0,3.1,-1.1,11912,8856
TPH,1999-10,0,0,1.35,3540,1078020,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,10981,8825
TPH,1999-11,0,0,1.35,3508,1079000,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,9104,7889
TPH,1999-12,0,0,1.35,3582,1080190,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,10359,8718
TPH,2000-01,0,0,1.48,3500,1081200,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,9863,8641
TPH,2000-02,0,0,1.48,3206,1082740,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,11363,8584
TPH,2000-03,0,0,1.48,3885,1084280,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,12128,9291
TPH,2000-04,0,0,1.48,3317,1085440,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,11634,9610
TPH,2000-05,0,0,1.48,3684,1086810,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,13816,10894
TPH,2000-06,0,0,1.48,3394,1088430,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,15343,11549
TPH,2000-07,0,0,1.48,3659,1089830,10.05,10.81,882634,47.5,0,1,0,1,3.2,-1,12320,9956
TPH,2000-08,0,0,1.48,3835,1091280,10.05,10.81,882634,47.5,0,1,0,1,3.2,-1,13873,10802
TPH,2000-09,0,0,1.48,3904,1094114,10.05,10.81,882634,47.5,0,1,0,1,3.2,-1,12393,9371
TPH,2000-10,0,0,1.48,4129,1095370,10.05,10.81,882634,47.5,0,1,0,1,3.2,-1,10790,8337
TPH,2000-11,0,0,1.48,4224,1096493,10.05,10.81,882634,47.5,0,1,1,0,3.2,-1,10383,8193
TPH,2000-12,0,0,1.48,4187,1097723,10.05,10.81,882634,47.5,0,1,1,0,3.2,-1,12014,8808
TPH,2001-01,0,0,1.25,3448,1098029,10.29,11.03,896186,48.2,0,1,1,0,4.2,0,9174,8039
TPH,2001-02,0,0,1.25,3284,1098308,10.29,11.03,896186,48.2,0,1,1,0,4.2,0,12311,10220
